ID Number,Name,Method,Result,Method,Result,Method,Result,Method,Result,Method,Result,Method,Result,Method,Result
214,Heracross,None,~,None,~,None,~,None,~,None,~,None,~,None,~
215,Sneasel,Use Item (Night),Weavile,None,~,None,~,None,~,None,~,None,~,None,~
216,Teddiursa,Level Up,Ursaring,None,~,None,~,None,~,None,~,None,~,None,~
217,Ursaring,None,~,None,~,None,~,None,~,None,~,None,~,None,~
218,Slugma,Level Up,Magcargo,None,~,None,~,None,~,None,~,None,~,None,~
219,Magcargo,None,~,None,~,None,~,None,~,None,~,None,~,None,~
220,Swinub,Level Up,Piloswine,None,~,None,~,None,~,None,~,None,~,None,~
221,Piloswine,Attack Known,Mamoswine,None,~,None,~,None,~,None,~,None,~,None,~
222,Corsola,None,~,None,~,None,~,None,~,None,~,None,~,None,~
223,Remoraid,Level Up,Octillery,None,~,None,~,None,~,None,~,None,~,None,~
224,Octillery,None,~,None,~,None,~,None,~,None,~,None,~,None,~
225,Delibird,None,~,None,~,None,~,None,~,None,~,None,~,None,~
226,Mantine,None,~,None,~,None,~,None,~,None,~,None,~,None,~
227,Skarmory,None,~,None,~,None,~,None,~,None,~,None,~,None,~
228,Houndour,Level Up,Houndoom,None,~,None,~,None,~,None,~,None,~,None,~
229,Houndoom,None,~,None,~,None,~,None,~,None,~,None,~,None,~
230,Kingdra,None,~,None,~,None,~,None,~,None,~,None,~,None,~
231,Phanpy,Level Up,Donphan,None,~,None,~,None,~,None,~,None,~,None,~
232,Donphan,None,~,None,~,None,~,None,~,None,~,None,~,None,~
233,Porygon2,Trade (Item),Porygon-Z,None,~,None,~,None,~,None,~,None,~,None,~
234,Stantler,None,~,None,~,None,~,None,~,None,~,None,~,None,~
235,Smeargle,None,~,None,~,None,~,None,~,None,~,None,~,None,~
236,Tyrogue,Level (Attack < Defense),Hitmonchan,Level (Attack > Defense),Hitmonlee,Level (Attack = Defense),Hitmontop,None,~,None,~,None,~,None,~
237,Hitmontop,None,~,None,~,None,~,None,~,None,~,None,~,None,~
238,Smoochum,Level Up,Jynx,None,~,None,~,None,~,None,~,None,~,None,~
239,Elekid,Level Up,Electabuzz,None,~,None,~,None,~,None,~,None,~,None,~
240,Magby,Level Up,Magmar,None,~,None,~,None,~,None,~,None,~,None,~
241,Miltank,None,~,None,~,None,~,None,~,None,~,None,~,None,~
242,Blissey,None,~,None,~,None,~,None,~,None,~,None,~,None,~
243,Raikou,None,~,None,~,None,~,None,~,None,~,None,~,None,~
244,Entei,None,~,None,~,None,~,None,~,None,~,None,~,None,~
245,Suicune,None,~,None,~,None,~,None,~,None,~,None,~,None,~
246,Larvitar,Level Up,Pupitar,None,~,None,~,None,~,None,~,None,~,None,~
247,Pupitar,Level Up,Tyranitar,None,~,None,~,None,~,None,~,None,~,None,~
248,Tyranitar,None,~,None,~,None,~,None,~,None,~,None,~,None,~
249,Lugia,None,~,None,~,None,~,None,~,None,~,None,~,None,~
250,Ho-oh,None,~,None,~,None,~,None,~,None,~,None,~,None,~
251,Celebi,None,~,None,~,None,~,None,~,None,~,None,~,None,~
252,Treecko,Level Up,Grovyle,None,~,None,~,None,~,None,~,None,~,None,~
253,Grovyle,Level Up,Sceptile,None,~,None,~,None,~,None,~,None,~,None,~
254,Sceptile,None,~,None,~,None,~,None,~,None,~,None,~,None,~
255,Torchic,Level Up,Combusken,None,~,None,~,None,~,None,~,None,~,None,~
256,Combusken,Level Up,Blaziken,None,~,None,~,None,~,None,~,None,~,None,~
257,Blaziken,None,~,None,~,None,~,None,~,None,~,None,~,None,~
258,Mudkip,Level Up,Marshtomp,None,~,None,~,None,~,None,~,None,~,None,~
259,Marshtomp,Level Up,Swampert,None,~,None,~,None,~,None,~,None,~,None,~
260,Swampert,None,~,None,~,None,~,None,~,None,~,None,~,None,~
261,Poochyena,Level Up,Mightyena,None,~,None,~,None,~,None,~,None,~,None,~
262,Mightyena,None,~,None,~,None,~,None,~,None,~,None,~,None,~
263,Zigzagoon,Level Up,Linoone,None,~,None,~,None,~,None,~,None,~,None,~
264,Linoone,None,~,None,~,None,~,None,~,None,~,None,~,None,~
265,Wurmple,Level (PID > 5),Silcoon,Level (PID < 5),Cascoon,None,~,None,~,None,~,None,~,None,~
266,Silcoon,Level Up,Beautifly,None,~,None,~,None,~,None,~,None,~,None,~
267,Beautifly,None,~,None,~,None,~,None,~,None,~,None,~,None,~
268,Cascoon,Level Up,Dustox,None,~,None,~,None,~,None,~,None,~,None,~
269,Dustox,None,~,None,~,None,~,None,~,None,~,None,~,None,~
270,Lotad,Level Up,Lombre,None,~,None,~,None,~,None,~,None,~,None,~
271,Lombre,Use Item,Ludicolo,None,~,None,~,None,~,None,~,None,~,None,~
272,Ludicolo,None,~,None,~,None,~,None,~,None,~,None,~,None,~
273,Seedot,Level Up,Nuzleaf,None,~,None,~,None,~,None,~,None,~,None,~
274,Nuzleaf,Use Item,Shiftry,None,~,None,~,None,~,None,~,None,~,None,~
275,Shiftry,None,~,None,~,None,~,None,~,None,~,None,~,None,~
276,Taillow,Level Up,Swellow,None,~,None,~,None,~,None,~,None,~,None,~
277,Swellow,None,~,None,~,None,~,None,~,None,~,None,~,None,~
278,Wingull,Level Up,Pelipper,None,~,None,~,None,~,None,~,None,~,None,~
279,Pelipper,None,~,None,~,None,~,None,~,None,~,None,~,None,~
280,Ralts,Level Up,Kirlia,None,~,None,~,None,~,None,~,None,~,None,~
281,Kirlia,Level Up,Gardevoir,Use Item (Male),Gallade,None,~,None,~,None,~,None,~,None,~
282,Gardevoir,None,~,None,~,None,~,None,~,None,~,None,~,None,~
283,Surskit,Level Up,Masquerain,None,~,None,~,None,~,None,~,None,~,None,~
284,Masquerain,None,~,None,~,None,~,None,~,None,~,None,~,None,~
285,Shroomish,Level Up,Breloom,None,~,None,~,None,~,None,~,None,~,None,~
286,Breloom,None,~,None,~,None,~,None,~,None,~,None,~,None,~
287,Slakoth,Level Up,Vigoroth,None,~,None,~,None,~,None,~,None,~,None,~
288,Vigoroth,Level Up,Slaking,None,~,None,~,None,~,None,~,None,~,None,~
289,Slaking,None,~,None,~,None,~,None,~,None,~,None,~,None,~
290,Nincada,Level (1 of 2),Ninjask,Level (2 of 2),Shedinja,None,~,None,~,None,~,None,~,None,~
291,Ninjask,None,~,None,~,None,~,None,~,None,~,None,~,None,~
292,Shedinja,None,~,None,~,None,~,None,~,None,~,None,~,None,~
293,Whismur,Level Up,Loudred,None,~,None,~,None,~,None,~,None,~,None,~
294,Loudred,Level Up,Exploud,None,~,None,~,None,~,None,~,None,~,None,~
295,Exploud,None,~,None,~,None,~,None,~,None,~,None,~,None,~
296,Makuhita,Level Up,Hariyama,None,~,None,~,None,~,None,~,None,~,None,~
297,Hariyama,None,~,None,~,None,~,None,~,None,~,None,~,None,~
298,Azurill,Happiness,Marill,None,~,None,~,None,~,None,~,None,~,None,~
299,Nosepass,Level (Mt. Coronet),Probopass,None,~,None,~,None,~,None,~,None,~,None,~
300,Skitty,Use Item,Delcatty,None,~,None,~,None,~,None,~,None,~,None,~
301,Delcatty,None,~,None,~,None,~,None,~,None,~,None,~,None,~
302,Sableye,None,~,None,~,None,~,None,~,None,~,None,~,None,~
303,Mawile,None,~,None,~,None,~,None,~,None,~,None,~,None,~
304,Aron,Level Up,Lairon,None,~,None,~,None,~,None,~,None,~,None,~
305,Lairon,Level Up,Aggron,None,~,None,~,None,~,None,~,None,~,None,~
306,Aggron,None,~,None,~,None,~,None,~,None,~,None,~,None,~
307,Meditite,Level Up,Medicham,None,~,None,~,None,~,None,~,None,~,None,~
308,Medicham,None,~,None,~,None,~,None,~,None,~,None,~,None,~
309,Electrike,Level Up,Manectric,None,~,None,~,None,~,None,~,None,~,None,~
310,Manectric,None,~,None,~,None,~,None,~,None,~,None,~,None,~
311,Plusle,None,~,None,~,None,~,None,~,None,~,None,~,None,~
312,Minun,None,~,None,~,None,~,None,~,None,~,None,~,None,~
313,Volbeat,None,~,None,~,None,~,None,~,None,~,None,~,None,~
314,Illumise,None,~,None,~,None,~,None,~,None,~,None,~,None,~
315,Roselia,Use Item,Roserade,None,~,None,~,None,~,None,~,None,~,None,~
316,Gulpin,Level Up,Swalot,None,~,None,~,None,~,None,~,None,~,None,~
317,Swalot,None,~,None,~,None,~,None,~,None,~,None,~,None,~
318,Carvanha,Level Up,Sharpedo,None,~,None,~,None,~,None,~,None,~,None,~
319,Sharpedo,None,~,None,~,None,~,None,~,None,~,None,~,None,~
320,Wailmer,Level Up,Wailord,None,~,None,~,None,~,None,~,None,~,None,~
321,Wailord,None,~,None,~,None,~,None,~,None,~,None,~,None,~
322,Numel,Level Up,Camerupt,None,~,None,~,None,~,None,~,None,~,None,~
323,Camerupt,None,~,None,~,None,~,None,~,None,~,None,~,None,~
324,Torkoal,None,~,None,~,None,~,None,~,None,~,None,~,None,~
325,Spoink,Level Up,Grumpig,None,~,None,~,None,~,None,~,None,~,None,~
326,Grumpig,None,~,None,~,None,~,None,~,None,~,None,~,None,~
327,Spinda,None,~,None,~,None,~,None,~,None,~,None,~,None,~
328,Trapinch,Level Up,Vibrava,None,~,None,~,None,~,None,~,None,~,None,~
329,Vibrava,Level Up,Flygon,None,~,None,~,None,~,None,~,None,~,None,~
330,Flygon,None,~,None,~,None,~,None,~,None,~,None,~,None,~
331,Cacnea,Level Up,Cacturne,None,~,None,~,None,~,None,~,None,~,None,~
332,Cacturne,None,~,None,~,None,~,None,~,None,~,None,~,None,~
333,Swablu,Level Up,Altaria,None,~,None,~,None,~,None,~,None,~,None,~
334,Altaria,None,~,None,~,None,~,None,~,None,~,None,~,None,~
335,Zangoose,None,~,None,~,None,~,None,~,None,~,None,~,None,~
336,Seviper,None,~,None,~,None,~,None,~,None,~,None,~,None,~
337,Lunatone,None,~,None,~,None,~,None,~,None,~,None,~,None,~
338,Solrock,None,~,None,~,None,~,None,~,None,~,None,~,None,~
339,Barboach,Level Up,Whiscash,None,~,None,~,None,~,None,~,None,~,None,~
340,Whiscash,None,~,None,~,None,~,None,~,None,~,None,~,None,~
341,Corphish,Level Up,Crawdaunt,None,~,None,~,None,~,None,~,None,~,None,~
342,Crawdaunt,None,~,None,~,None,~,None,~,None,~,None,~,None,~
343,Baltoy,Level Up,Claydol,None,~,None,~,None,~,None,~,None,~,None,~
344,Claydol,None,~,None,~,None,~,None,~,None,~,None,~,None,~
345,Lileep,Level Up,Cradily,None,~,None,~,None,~,None,~,None,~,None,~
346,Cradily,None,~,None,~,None,~,None,~,None,~,None,~,None,~
347,Anorith,Level Up,Armaldo,None,~,None,~,None,~,None,~,None,~,None,~
348,Armaldo,None,~,None,~,None,~,None,~,None,~,None,~,None,~
349,Feebas,Max Beauty,Milotic,None,~,None,~,None,~,None,~,None,~,None,~
